input_text,target_text,generated_text
cushioning | husband | insert | bone | plantar | fasciitis | instep | day | run,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",I have been using cushioning for the last 10 years and I was first introduced to it by my husband. He then starts putting bone in his plantar fasciitis. He then moves on to the foot of the plantar
price | product | size | chart | order | buy | difference,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.","I was excited to find this product at such a cheap price, I couldn't live without it! I have a bigger chart on the product page, and I can see why the heck it is doing is to make it more than"
fit | wash | water | shrink | inch | inseam | waist | size | quality | price,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,I have a very nice Fit Wash that I can order at any time. I have a small inseam but it is much bigger than the size of the Pure and Basic Body Washes. I highly recommend this wash.
shoe | comfort | performance | quality | time | pair | try | choice | support | discomfort | use | thickness | cushioning | build | running | consideration | preference | light | treadmill,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!","I have been using these for over 30 years and I was delighted and surprised when I tried them. I found their comfort level to be very good, and I didn't feel like spending too much on them. I have a long history"
bit | picture | light | way | box | paper | fill | look | training,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,I like this bit of a picture of the light way that the pictures show. It is so simple and clean. I don't think it would be great for my kids. I used it as well as my other toys. It makes
shoe | description | look | cushion | support | style | want | purchase,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I purchased thisshoe because I didn't think it would be comfortable. I had a look at the description and it looks like it has a great cushion. I am so happy with my purchase. I am looking for a
shoe | time | airport | sole | squeak | refund | return | paperwork | package,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",I purchased thisshoe for the first time and was really sad when the return was made. I lived out of the airport and found the sole at the airport which was squeaky clean. The sole is now gone and I can
fan | time | reason | number | tread | grip | workout | cardio | cross | training | work | massage | therapist | level | cushion | comfort | kind | term | option | material | choice,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",I am a diehard barefoot fan. Every single I tried is by barefoot. I can remember the first time I used it. I didn't realize the reason for the number of times I used it. I used
size | weight | night | work | coach | walk | gift | card | tell,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,"I have a very large size and I use it almost every night, after work. I get compliments all the time. I usually leave it at home, wash it, and take a walk around the block to sleep. It is"
iteration | weight | training | shoe | go | lot | running | support | day | hike | pinch | material | mesh | dirt | town,"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.",Iiteration :) the heavy-lifting shoes I buy tend to have very little weight so I don't need to use as much as they should for running. I had to adjust my shoe to accommodate the weight of the
weight | support | tread | circuit | training | running | size | toe | room | shoe | heel | boot | inch | edge | lunge | jumping | color | damage | box | paper | lining | clorox | wipe,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!","I have several pairs of shorts that are too heavy for this one. I use this mainly for the running circuit and it is easy to adjust. I use this mainly for the toes and the toes, but it"
bit | width | pink | pinker | gray | picture | shoe | refer | toe | photo | talk | keep | come | mile,"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",I have a bit of a width (from the pink to the green) but it is much wider now that I see them in the picture. I am refer to this as a toe-toe photo. I think it
shoe | bit | foot | wire | wiggle | room | footwear,"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",I like thisshoe because it's kind of bulky for a shoe. I use it about once a week usually and my feet don't have much room. I like that it has a bit of a to
running | wall | shoe | use | concrete | treadmill | impact | absorption | trail | run,"My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",I have been using these for years. My running wall is now a wall mounted shoe that I can easily run over. I have a wide use and can even be walked on. This has led to a concrete treadmill with little
gym | training | weight | class | dance | body | jam | color | impact | toe | bed | cushion | ball | foot,"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.",I have a gym who is training to be an Olympic size. I use it mostly for bodybuilding and I prefer it for the ballet. It has a very high impact. I usually leave it on my feet before but
gym | hunt | cross | trainer | treadmill | pain | wear | glove,"I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes, and lightly jog/run on the treadmill. These have been wonderful! I don't ever have any pain in my calves or my feet when wearing these and they fit like a glove. Highly recommend!","I'm always on the hunt for ""something like it."" I find myself on the treadmill with no pain from wearing gloves. I'm also on the hunt for something that makes me feel like I'm wearing something like it. I"
look | run | walking | tennis | bill | fit | court | black | ground,"Obsessed with these shoes! I was looking for good all around sneakers (running, walking, tennis, etc.) and these more than fit the bill. I was looking specifically for black nikes (I love the fit) with white soles (good for court sports); I was a little reluctant to purchase because I wasn't sure whether the black on the soles would contact the ground, but it doesn't!","I was looking for a shoe that will actually hold my short grassy walk on the court. I couldn't pass up the opportunity to try this, I believe it will be OK, given my shortcoming. I have seen many people"
buy | pair | work | wear | time | opinion | care,"Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.","I was excited to get these for work. I used them sparingly so as not to use them up too quickly. Sadly, they broke my leg during my work. I got both pairs of socks for the first time and they were"
time | cross | training | shoe | running | knock | fact | size | runner | need | room | roomy | issue,"It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.

I ordered the shoes half a size up because as a former runner, I'm used to my feet needing room to spread and swell. I wish I hadn't because they feel a little roomy. I have orthotics, so I think I can remedy the issue once I swap those in.

Otherwise, very good shoes","I had a hard time at the cross country cross training shoe, and I was knocked off at the knockout point. In fact, the shoe isn't exactly big, I think it's a good size."
training | run | treadmill | gym | weight | rubber | heel | toe | cable | resistance | band | floor | lift | workout | cushion | reason,"Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible, light weight and comfortable. Grip is okay - sticky rubber is used only at the edges of heel and toe areas so I slipped a little when I worked on cable machines, resistance band, etc. on un-carpeted floor.  I would emphasize that if you do lifting as a part of your everyday routine workout I would not recommend them because mine (cushion) lasted only for six months and this is the reason I gave three stars. Other than that, I liked them!",I have been using this treadmill for years and love it............. BUT.... the treadmill gives me a really even weight! I use it as well as the toe toe cable. The toe is bent (toe lift) and
impression | cushiony | read | product | work | stand | day | support | comfort | training | thing | return | credit,"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.","I was first introduced to this cushiony read product. It was great for me. I used it for work on my stand. I used it every day for about 5 hours, and it was then moved to the back of the stand. It"
inch | space | tip | toe | shoe | foot | bit | sole | plenty | grip | floor | day,"There is about a 1/2 inch of extra space from the tip of my big toe to the front of the shoe. That's okay, though. I usually wear socks, so it doesn't feel too big, even if it does make your foot look a bit long.

The colors are vibrant, and the sole has plenty of grip, even on a slippery floor. I wore them for most of the day and they are comfortable.

Overall, I'm very pleased with this shoe.","I have plenty of space on the floor, and this is perfect for a quick clean up. I especially like the tips. It's really small for a toe and it's easy to hold. I even have a"
color | look | shoe | grip | training | size | brand | fit,I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe.,I have been looking for a color that will actually fit my shoe size. I have large sizes but most of them are more than adequate. I would suggest using these if you are looking for a shoe that is a good fit
wear | running | dance | gym | get | blood | research | cross | buy | pair | lacing | way | tingle | work,"I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, the lacing is done in a way that allows you to tie too tightly if you're not careful (my toes were tingling during one particular work out when I had done this). Other then that I am very happy with the shoes.",I love Urban Spa Wearing Shoes. It's really great for running and getting into the gym. I did some research on how to make it feel and feel great when I'm a kid. I don't have time to
size | trail | runner | gym | use | wear | pair | cross | year,"If you wear Nike on the regular, then you should pretty much know your size. I wear only 7's in Nike, and it fit just as expected. I have many of the trail runner generations, and love them all. they're my go to sneakers for the gym use, or casual wear. I have a pair I used mostly for casual wear that have lasted about 5 years. Another pair that I used for cross fit/outdoor runs that lasted a little over a year (very vigorous daily use). All in all, these shoes are great for me. They're lightweight, and comfortable.",I have a size 9 trail runner and I love this size. I can do it all year - except for the trail runners. I have large size pairs of size 8 and 9 running shoes. The runner should be able
return | shoe | touch | pink | check | come | look,"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I received my return shoe after a return shoe. I had a touch of pink but the pink check in the bottom of my feet did not make my shoe look any better. I don't think this will be coming back to my
