input_text,target_text,generated_text
kit | clean | dryer | thing | deal | time,"This is a complete kit for cleaning the dryer vents, a necessary thing. I had checked all the products and this was the best deal at the time I got it.",I bought this kit to use as the clean out kit. I didn't use any other items other than the ones that are included in the kit. I didn't like how quickly it was being sent to my dryer. The only thing
problem | lint | house | vent | dryer | filter | unit | product | tape | junction | cleaning | fist | brush | extension | ensure | section | length | set | operate | drill | opening | case | keep | open | close | make | trip | ladder | ground | price,"Anyone who thinks they don't have a problem with lint should look at these pictures.  My house is only 10 years old and this is what came out of our vent.  That doesn't even include what was cleaned out from our dryer filter and what was in just the dryer unit.  This product is very easy to use.  I definitely suggest taping each junction to make sure they don't separate in the vent.  I broke my cleaning into 4 cleanings. Fist cleaning was with just the brush and the first extension.  After ensuring that section is clean I added the second and so forth until the brush came out clean.  Given the length of the brush with all four sections, I found it easier to have another set of hands guide the brush into the vent while the other set was operating the drill.
I noticed that when I turned the dryer back on there was some lint that was dislodged and blew out the outside vent opening.  Unfortunately in my case some lodged between the slats and is keeping the vent opening from fully closing.  I will be making a trip up my ladder once the ground dries a little so I can remove those pieces.  A little price to pay for a clean vent.",I have a problem with lint in the house vents. I have a small dryer unit which is mounted on the vents. I have an extension to the unit that will allow me to reach the vertical strip. This
today | go | roof | lint | drill | reverse | brush | head | half | setting | torque | possibility | rod | break | unscrewing | thing | year | watch | dvd | exhaust | dryer | blow | air,"I used this today, going in from the roof.

Pros:
* Works great to clean out lint - almost ""fun"" to use and see the lint come out
* Comes with a short & helpful DVD (English & French)
* I almost gave it 5 stars but because of the cons I think 4 stars is more appropriate

Cons:
* *** BE CAREFUL *** Have to be careful not to purposely or *accidentally* put the drill into reverse or the brush head will detach/unscrew
* *** BE CAREFUL *** Set your drill clutch to no more than half of the maximum setting or the rods may break from too much torque
* I wonder about the possibility of a rod breaking or brush unscrewing... I wonder how tough this thing is... it seems decent, but I would be more confident if it seemed very well built instead of just ""decent"".

Other:
* See the photos I uploaded. I was surprised how much lint came out.
* My 3-year-old enjoyed watching the DVD over and over!
* I went in from the exhaust on the roof and had the dryer blowing cool air out","I think it is possible to use this after I shower and my lint drill. But what exactly happens after you get out? The whole thing is pretty much done by hand. You can either get it from the garage, or you"
equipment | rubber | experience | peace | mind | home | leak | use,I used these (2) hoses to replace the original equipment rubber hoses. My previous experience with these hoses gave me peace of mind when I would be away from my home for extended vacations. I expect years of leak-free use.,I have a pneumatizer with rubber in it and I have never had such a wonderful experience. I have peace of mind that comes from knowing your equipment will perform properly and you will never find yourself without it. It is easy to
get | burner | value | dealer,Getting these burner covers at stores used to be easy. I am glad I found Amazon for my future needs. They are value priced and come from a good dealer.,Get Started using this burner! I didn't realize that this is a good burner. I had to replace it with a different one (at my dealer) that was closer to me. I don't know what burner is
filter | tasting | water | accord | literature,"This OEM filter works perfectly as expected. It supplies great tasting water and removes many toxins, according to the literature that accompanies them.","I have been using this filter for years and it is truly heavenly. I love how it purifies water, it is not chlorine free, and it does not break my hair out like other filters I've tried. I have read that"
start | refrigeration | device,These start devices are great for all domestic refrigeration start device repairs. They exceed the original device and very easy to install.,"I have been using this for over 30 years and I have no idea why. I have a refrigerator so I can start using it. But, it doesn't work anymore. I don't recommend it. It works just like any"
unit | deduct | star | viewing | display | product | reflect | window,"I like this unit but am deducting one star because of the limited viewing angles. When you view from the sides or from the top or bottom, the display becomes much more difficult to read. It's not nearly as clear as the product photos. The display is also rather glossy to you wouldn't want it reflecting something bright, like a window.","I purchased this unit because it has a deductible star as well. For viewing and displaying the product, I turned it on. The product itself is bright, with no reflections. I love how quickly it runs."
product | kit | set | spend | town | brush | complain | review | idiot | sense | tape | duct | backup | case | number | safety | measure | rod | time | resistance | drill | wiggle | bend | lot | blockage | pull | patch | lint | area | portion | attachment | vacuum | leaf | blower | step | end | vent | way | clockwise | debris | cleaning | total | push | exterior | house | outside | mess | d | face | mask | respirator | stuff | grow | carpentry | version | fun | breath,"Great product but they need to include more rods in the kit. I had to buy a second set of rods and that still wasn't enough so Ill end up spending $60+ dollars on this kit which isn't terrible if you factor what you would get charged out in town, but still, its plastic rods with a brush attached....thats overpriced for something so simple.

So enough of me complaining about it being overpriced and get to the review. It works GREAT if you aren't an idiot and use common sense when using it.

1.  Always CLOCKWISE..... again always CLOCKWISE, I cant be anymore clear about this.
2.  Use electrical tape or duct tape as a backup in case you screw up on number 1 above. Its a good safety measure so just do it, it only takes a few seconds per rod to wrap in tape.
3.  Feed one rod at a time, taping each one as you go.
4.  Dont force the rods if you get resistance with the drill attached. If you get resistance, remove the drill from the rod and using your hands wiggle/shift the rods until you get past the resistance and then reconnect the drill and continue. Most likely if you reach resistance is likely one of two things. (1) You have a large bend in your duct or (2) you have a lot of blockage. If its number 2, start pulling the rod out (with or without the drill attached (if the drill remains attached, remember to always spin  CLOCKWISE) as youve probably hit a patch of lint clogged heavily in one area. Pulling the rod out will likely pull a large portion of lint youve broken loose out with the rod and brush  attachment so vacuum it up or blow it out if you have a leaf blower and then start again (I didn't disconnect rods during this step but I did take my time to hand feed the rod and brush back in to ensure I didn't damage the rods).
5.  Once youve reached the end of your vent, start pulling your rods out the same way you went in (CLOCKWISE) so that you catch any debris you might have missed on the initial cleaning.  I pushed the brush through 2-3 times in total from different sides of the vent since I was short a few rods and used the leaf blower 4-6 times in between to ensure I was pushing any lint to the exterior of the house (never blow the leaf blower into the house, only blow to the outside of the house unless you want a HUGE mess in your house.
6.  Lastly, Id recommend using a face mask/respirator mask as this stuff is messy and you don't know whats growing in it. I had some cheap carpentry mask but will use a better version next time I clean it as its not fun to breath in.",I was excited to get this product because it's so inexpensive and great value for money. I basically used this one when I was 16 and didn't have much of a complaint about the stupidity of using a brush.
review | piece | system | pay | visit | service | guy | appliance | store | duct | manner | location | variety | road | dryer | wall | time | come | cleaning | end | water | floor | vacation | home | process | research | way | purchase | product | number | handful | manual | idea | rod | speed | drill | bend | obstruction | vent | pipe | physics | clockwise | brush | head | go | tube | cordless | model | clutch | switch | drive | race | thread | locker | attach | set | screw | section | pair | tape | couple | sense | insurance | disaster | chuck | problem | spin | torque | issue | d | half | house | insert | shop | vac | tool | hole | filter | lint | vacuum | figure | dust,"This review is for Gardus RLE202 LintEater 10-Piece Rotary Dryer Vent Cleaning System

Weve been paying $75 per visit for the service guy from the appliance store to come every 4-5 months and clean the flexible duct thats routed in a less than optimal manner due to location and a variety of road blocks from the dryer to the outside wall.

We knew the time was coming for a cleaning when clothes didn't dry very well and right near the end when it REALLY needed cleaning, there would actually be water on the floor under the dryer.

I had to use some vacation days or lose them and was recently at home for the first time when he came. I watched the process and thought, *I* should be doing this if thats all it is!

I did my research, LintEater is pretty clearly the way to go and made my purchase. Youve got to love Amazon Prime!

Like with ANY product, you have weigh the number of positive reviews against the handful of bad ones. The bad reviews are likely from people who are mechanically challenged or didn't read the manual or watch YouTube videos to get an idea of how the process works.

The pictures of the twisted rod? Someone had one of more of these: Speed too high, clutch too high or didn't use a clutched drill at all, pushed against an impassable bend or obstruction on the vent pipe.

Disconnected or broke in the vent pipe? The rods cant come apart if you run the drill ONLY clockwise. Thats simple physics they simply cant come apart IF you use clockwise ONLY. The brush head broke or stripped out is going to be like the twisted rod; speed too high, clutch too high or didn't use a clutched drill at all, pushed against an impassable bend or obstruction on the vent pipe.

- CLOCKWISE ONLY for both going into and back out of the vent tube!

- My cordless drill is a Ridgid model R82005 3/8. The clutch goes from 0 to 16.5. It has a switch marked 1 & 2 for overall speed. I set the clutch to FOUR and the speed to ONE. You're not drilling holes or driving screws... you're not going as hard and fast as you can. Slow and easy wins this particular race.

- I put red Loctite thread locker on the threads attaching the rotary brush head to the rod AND to the set screw.

- As I added each section, I tightened them against each other with a pair of pliers on each section. THEN, I wrapped electrical tape a couple times around the joined sections. This is all just common sense insurance against disaster.

- The female ends of the rod that go into the drill chuck aren't knurled, but I had no problem with them spinning in the chuck. Slow speed and minimal torque are probably why this was not an issue.

NOTE: I didn't think Id need the extra rod extensions, but I do and came back to order them. To get this done for now, I had to do half from inside the house and half from outside.

- INSIDE the house, vent pipe disconnected from the dryer, I used the vent insert in the vent pipe end with a Ridgid 6HP shop vac and the cleaning tool rod through the provided hole in the insert. This worked fantastically well; I had to clean the vac filter a couple times due to all the lint.

- OUTSIDE the house, I didn't bother with the vacuum, figuring the birds would get whatever lint they found or the elements would just break it down pretty quickly. Turn the dryer ON to blow out the loosened lint as you clean the pipe, wear googles or something to keep the lint dust out of your eyes and off you go!","I was reviewing this product when I first got it. I had a chance to try it but instead of paying full price, I got this service. After several months of use, I decided to order the entire system from the store that I"
