input_text,target_text,generated_text
product | packaging | shipping | food | order | household,"Excellent product, packaging and shipping. This along with other products from ""Food to Live"" have become standard re-order items in my household.","I purchased this product because it's my favorite, ever. But when it arrived it had been wrapped too tightly and the top of the package broke off during shipping. I had to return it without packaging and I have no idea how quickly it"
fry | flavor | bottle | beer | type | cap,I have just used this on a stir fry and was pleasantly surprised with the good flavor. The bloody bottle was hard to open because it had a beer type cap which seemed to not want to let go. But what's inside is what counts and the flavor is excellent. Highly recommended.,"I like how afrier I can flavor this drink. I don't have a specific bottle, so I bought one. I think the beers in the bottle are kind of small for a beer, but I think they"
vareity | flavor | meat | vegetable | blend,A great vareity of Magic Blends. Each one brings a nice flavor to the meat that is recommended. The vegetable blend is used daily on just about every vegetable I eat. Very flavorful and tasty. Does not overpower the meat or vegetables.,"Varieties in flavor: From the meat to the vegetable, this blend is very close. I prefer the meat-to-vegetable blend."
tea | night | bed | problem | purchase | item | idea | delivery | price | value,I drink this tea at night just before bed. It helps with my respiratory problem. I could breathe. And it helps me sleep as well. Purchasing this item on Amazon was a great idea. Fast delivery. Good price. Great value.,I was using Teas a nightly bedbug problem. I had no problem buying this item because it's one item I would not be sending anymore. Thanks for the speedy delivery and the value for the money.
place | wheat | bake | eat | dehydrate | processor | meal,I use these in place of wheat or any other grains for baking as well as just eating. I soak and dehydrate then run through my processor to make almond meal. They taste great but are very expensive.,"Nope. I don't like baking wheat, so I buy this instead. I replace it with a wheat baker's bread. It's my favorite, ever. But when it's done, I have to find"
fun | drink | memory | taste | lean | creme | soda | look | diet | version | hfcs | cane | sugar | body,"It's fun to have this drink as a memory of Peru!  Inca Kola has a taste leaning toward 'creme soda,"" with a look like Mt. Dew.  However, when in Peru, I tried to drink the diet version whenever possible (which I couldn't find very often). Whether HFCS or cane sugar, these are empty calories our body doesn't need.","I like that this drink doesn't have to be expensive, especially if you're a junkie! I remember fondly saying that my favorite ice cream (from the 80's & 1990's) was"
recipe | oil | grocery | tasting | leave | star | review,"We have a favorite recipe that calls for chili oil. I couldn't find it in our local grocery and so was glad to find it on Amazon. It is the only chili oil I have tried. I found it to be very authentic tasting. Unless I venture to try another one and find it to be better, I am comfortable leaving a 5 star review.","I recently had this amazingrecipe! It is one of my favorite oils, ever! I love how quickly it burns out and is so soft to put it all on one! I even ship it to the grocery store that I bought it"
soup | scene | make | rookie | spoonful | water | day | viewpoint | course | spoon | heat | gas | world | difference,"I'm new to the miso soup scene and was making possibly the biggest rookie mistake ever. I would just whisk a big spoonful of miso into hot water and call it a day. You can image why I thought I just didn't like miso. This changed my whole viewpoint, of course. A spoon of this, bring it to a good heat (but not boil), turn off the gas, add your miso, add your toppings, done. Delicious. Truly makes a world of difference.","I love this soup scene! It's a rookie made spoonful, and I had to give it four stars as the spoonful is almost 3x the size of the real spoon. I have a very different viewpoint"
eucalyptus | tea | time | day | taste,"I had TB when I lived in Mexico in l970/71/72.  I used eucalyptus/licorice tea and actually cured myself.  Since that time, I have used this tea every day as I love the taste of it.  I recommend it to anyone who wants to strengthen their lungs.","I am an avid eucalyptus fan. I was lucky enough to find this at one of my favorite tea rooms. Even though I am a long way from there, I do like that it is one of the only"
tea | lot | flavor | bit | bitterness | morning | afternoon | soy | milk | sugar,"I like this tea a lot. It has full bodied black tea flavor, and only a little bit of bitterness. It's the perfect tea to start off your morning or to drink as a pick me up in the afternoon. I usually add a bit of soy or almond milk to it, and a bit of sugar to combat the bitterness. It is much less bitter than other plain black teas I have tried.","I like Tetea, which has a lot of flavor, but not a lot. It's a lot bittersweeter than any other soy milk product I've tried. I found it to be very sweet"
